"","SOC10","SOCNEW"
"1",1115,1115
"2",1116,1115
"3",1121,1121
"4",1122,1122
"5",1123,1123
"6",1131,1131
"7",1132,1132
"8",1133,1133
"9",1134,1134
"10",1135,1135
"11",1136,1136
"12",1139,1139
"13",1150,1150
"14",1161,1161
"15",1162,1162
"16",1171,1171
"17",1172,1172
"18",1173,1173
"19",1181,1181
"20",1184,1184
"21",1190,1190
"22",1211,1211
"23",1213,1213
"24",1221,1221
"25",1223,1221
"26",1224,1221
"27",1225,1225
"28",1226,1226
"29",1241,1241
"30",1242,1242
"31",1251,1251
"32",1252,1252
"33",1253,1253
"34",1254,1254
"35",1255,1259
"36",1259,1259
"37",2111,2111
"38",2112,2112
"39",2113,2113
"40",2114,2114
"41",2119,2119
"42",2121,2121
"43",2122,2122
"44",2123,2123
"45",2124,2124
"46",2126,2126
"47",2127,2127
"48",2129,2129
"49",2133,2133
"50",2134,2134
"51",2135,2135
"52",2136,2136
"53",2137,2139
"54",2139,2139
"55",2141,2141
"56",2142,2142
"57",2150,2150
"58",2211,2211
"59",2212,2212
"60",2213,2213
"61",2214,2214
"62",2215,2215
"63",2216,2216
"64",2217,2217
"65",2218,2218
"66",2219,2219
"67",2221,2221
"68",2222,2222
"69",2223,2223
"70",2229,2229
"71",2231,2231
"72",2232,2232
"73",2311,2311
"74",2312,2312
"75",2314,2314
"76",2315,2315
"77",2316,2316
"78",2317,2317
"79",2318,2318
"80",2319,2319
"81",2412,2412
"82",2413,2413
"83",2419,2419
"84",2421,2424
"85",2423,2423
"86",2424,2424
"87",2425,2425
"88",2426,2426
"89",2429,2429
"90",2431,2431
"91",2432,2432
"92",2433,2433
"93",2434,2434
"94",2435,2435
"95",2436,2436
"96",2442,2442
"97",2443,2443
"98",2444,2444
"99",2449,2449
"100",2451,2451
"101",2452,2452
"102",2461,2461
"103",2462,2462
"104",2463,2463
"105",2471,2471
"106",2472,2472
"107",2473,2473
"108",3111,3111
"109",3112,3112
"110",3113,3113
"111",3114,3114
"112",3115,3115
"113",3116,3115
"114",3119,3119
"115",3121,3121
"116",3122,3122
"117",3131,3131
"118",3132,3132
"119",3213,3213
"120",3216,3216
"121",3217,3217
"122",3218,3218
"123",3219,3219
"124",3231,3231
"125",3233,3231
"126",3234,3234
"127",3235,3235
"128",3239,3239
"129",3311,3311
"130",3312,3312
"131",3313,3313
"132",3314,3314
"133",3315,3319
"134",3319,3319
"135",3411,3411
"136",3412,3412
"137",3413,3413
"138",3414,3413
"139",3415,3415
"140",3416,3416
"141",3417,3417
"142",3421,3421
"143",3422,3422
"144",3441,3441
"145",3442,3442
"146",3443,3443
"147",3511,3511
"148",3512,3512
"149",3513,3513
"150",3520,3520
"151",3531,3531
"152",3532,3532
"153",3533,3533
"154",3534,3534
"155",3535,3535
"156",3536,3536
"157",3537,3537
"158",3538,3538
"159",3539,3539
"160",3541,3541
"161",3542,3542
"162",3543,3543
"163",3544,3544
"164",3545,3545
"165",3546,3546
"166",3550,3550
"167",3561,3561
"168",3562,3562
"169",3563,3563
"170",3564,3564
"171",3565,3565
"172",3567,3567
"173",4112,4112
"174",4113,4113
"175",4114,4114
"176",4121,4121
"177",4122,4122
"178",4123,4123
"179",4124,4124
"180",4129,4129
"181",4131,4131
"182",4132,4132
"183",4133,4133
"184",4134,4134
"185",4135,4135
"186",4138,4131
"187",4151,4151
"188",4159,4159
"189",4161,4161
"190",4162,4161
"191",4211,4211
"192",4212,4212
"193",4213,4213
"194",4214,4214
"195",4215,4215
"196",4216,4216
"197",4217,4217
"198",5111,5111
"199",5112,5112
"200",5113,5113
"201",5114,5114
"202",5119,5119
"203",5211,5211
"204",5212,5212
"205",5213,5213
"206",5214,5214
"207",5215,5215
"208",5216,5216
"209",5221,5221
"210",5222,5222
"211",5223,5223
"212",5224,5224
"213",5225,5225
"214",5231,5231
"215",5232,5232
"216",5234,5234
"217",5235,5235
"218",5236,5231
"219",5237,5231
"220",5241,5241
"221",5242,5242
"222",5244,5244
"223",5245,5245
"224",5249,5249
"225",5250,5249
"226",5311,5311
"227",5312,5312
"228",5313,5313
"229",5314,5314
"230",5315,5315
"231",5316,5316
"232",5319,5319
"233",5321,5321
"234",5322,5322
"235",5323,5323
"236",5330,5319
"237",5411,5411
"238",5412,5412
"239",5413,5413
"240",5414,5414
"241",5419,5419
"242",5421,5421
"243",5422,5422
"244",5423,5423
"245",5431,5431
"246",5432,5432
"247",5433,5433
"248",5434,5434
"249",5435,5435
"250",5436,5436
"251",5441,5441
"252",5442,5442
"253",5443,5443
"254",5449,5449
"255",6121,6121
"256",6122,6122
"257",6123,6123
"258",6125,6125
"259",6126,6126
"260",6131,6131
"261",6132,6139
"262",6139,6139
"263",6141,6141
"264",6142,6142
"265",6143,6143
"266",6144,6144
"267",6145,6145
"268",6146,6146
"269",6147,6145
"270",6148,6148
"271",6211,6211
"272",6212,6212
"273",6214,6214
"274",6215,6215
"275",6219,6219
"276",6221,6221
"277",6222,6222
"278",6231,6231
"279",6232,6232
"280",6240,6233
"281",7111,7111
"282",7112,7112
"283",7113,7113
"284",7114,7111
"285",7115,7111
"286",7121,7121
"287",7122,7122
"288",7123,7123
"289",7124,7124
"290",7125,7125
"291",7129,7129
"292",7130,7130
"293",7211,7211
"294",7213,7213
"295",7214,7214
"296",7215,7215
"297",7219,7219
"298",7220,7220
"299",8111,8111
"300",8112,8112
"301",8113,8113
"302",8114,8114
"303",8115,8115
"304",8116,8116
"305",8117,8117
"306",8118,8118
"307",8119,8119
"308",8121,8121
"309",8122,8121
"310",8123,8123
"311",8124,8124
"312",8125,8125
"313",8126,8126
"314",8127,8127
"315",8129,8129
"316",8131,8131
"317",8132,8132
"318",8133,8133
"319",8134,8133
"320",8135,8135
"321",8137,8137
"322",8139,8139
"323",8141,8141
"324",8142,8142
"325",8143,8143
"326",8149,8149
"327",8211,8211
"328",8212,8212
"329",8213,8213
"330",8214,8214
"331",8215,8215
"332",8221,8229
"333",8222,8222
"334",8223,8223
"335",8229,8229
"336",8231,8231
"337",8232,8232
"338",8233,8233
"339",8234,8234
"340",8239,8239
"341",9111,9111
"342",9112,9112
"343",9119,9119
"344",9120,9120
"345",9132,9132
"346",9134,9134
"347",9139,9139
"348",9211,9211
"349",9219,9219
"350",9231,9231
"351",9232,9233
"352",9233,9233
"353",9234,9234
"354",9235,9235
"355",9236,9233
"356",9239,9239
"357",9241,9241
"358",9242,9242
"359",9244,9244
"360",9249,9249
"361",9251,9251
"362",9259,9259
"363",9260,9260
"364",9271,9279
"365",9272,9272
"366",9273,9273
"367",9274,9274
"368",9275,9275
"369",9279,9279
"370",-9,-9
"371",-8,-8
